name	code	official	territory	population	capital	languages	world	currency	EU	Shengen	Commonwealth	Realm	NATO	power	driveson	wiki
England	england	England	132932	57106398	London	English	Europe	GBP	no	no	yes	yes	yes	monarchy	left	https://en.wikipedia.org/wiki/England 
Wales	wales	Wales	21218	3131640	Cardiff	English, Welsh	Europe	GBP	no	no	yes	yes	yes	monarchy	left	https://en.wikipedia.org/wiki/Wales
Scotland	scotland	Scotland	80231	5439842	Edinburgh	English, Scots, Scortish Gaelic, British Sign	Europe	GBP	no	no	yes	yes	yes	monarchy	left	https://en.wikipedia.org/wiki/Scotland
Nothern Ireland	n_ireland	Nothern Ireland	14330	1910543	Belfast	English, Irish	Europe	GBP	no	no	yes	yes	yes	monarchy	left	https://en.wikipedia.org/wiki/Northern_Ireland
Isle of Man	ioman	Isle of Man	574	84069	Douglas	English, Manx	Europe	GBP, Manx pound	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Isle_of_Man
Jersey	bei_jersey	Bailiwick of Jersey	119,6	103267	St.Helier	English, French, Jerriais	Europe	GBP, JEP	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Jersey
Guernsey	bei_guernsey	Bailiwick of Guernsey	78	67334	St.Peter Port	English, French, Sercquiais, Auregnais	Europe	GBP, GGP pound	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Bailiwick_of_Guernsey
Ireland	rep_ireland	Ireland	244376	68265209	Dublin	English, Irish	Europe	EUR	yes	yes	no	no	yes	republic	left	https://en.wikipedia.org/wiki/Ireland
Great Britain	britain	Great Britain	209331	65685738	London	English	Europe	GBP	no	no	yes	yes	yes	monarchy	left	https://en.wikipedia.org/wiki/Great_Britain
United Kingdom	uk	United Kingdom of Great Britain and Northern Ireland	244376	68265209	London	English, Scots, Ulster, Scots, Welsh, Cornish, Scottish, Gaelic, Irish, British Sign Language	Europe	GBP	no	no	yes	yes	yes	monarchy	left	https://en.wikipedia.org/wiki/United_Kingdom
overseas	overseas	British Overseas Territories	1727415	272256	London	English	World	GBP	no	no	yes	yes	yes	monarchy	left	https://en.wikipedia.org/wiki/British_Overseas_Territories
Antigua and Barbuda	antigua	Antigua and Barbuda	440000	100772	St. John's	English, Antiguan and Barbudan Creole	Central America	XCD	no	no	yes	yes	?	monarchy	left	https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Australia	australia	Australia	7688287	27536000	Canberra	English	Australia	AUD	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Australia
Bahamas	bahamas	Commonwealth of The Bahamas	13943	412628	Nassau	English, Bahamian Creole	Central America	BSD, USD	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/The_Bahamas
Belize	belize	Belize	22966	397483	Belize City	English, Belizean Creole	Central America	BZD	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Belize
Canada	canada	Canada	9984670	41288599	Ottawa	English, French	North America	CAD	no	no	yes	yes	yes	monarchy	left	https://en.wikipedia.org/wiki/Canada
Grenada	grenada	Grenada	349	124610	St. George's	"English, 
Grenadian Creole English,
Grenadian Creole French"	Central America	XCD	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Grenada
Jamaica	jamaica	Jamaica	10991	2734092	Kingston	English, Jamaican Patois	Central America	JMD	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Jamaica
New Zealand	nzeland	New Zealand	268021	5432170	Wellington	English, Māori, NZ Sign Language	Australia	NZD	no	no	yes	yes	yes	monarchy	left	https://en.wikipedia.org/wiki/New_Zealand
Papua New Guinea	papua	Papua New Guinea	462840	11781559	Port Moresby	English, Hiri Motu, PNG Sign Language, Tok Pisin	Oceania	PGK	no	no	yes	yes	yes	monarchy	left	https://en.wikipedia.org/wiki/Papua_New_Guinea
Saint Kitts and Nevis	skn	Federation of Saint Christopher and Nevis	261	47606	Basseterre	English, Saint Kitts Creole	Central America	XCD	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Saint Lucia	stlucia	Saint Lucia	617	178696	Castries	English, Saint Lucian Creole, French	Central America	XCD	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Saint_Lucia
Saint Vincent and the Grenadines	vincent	Saint Vincent and the Grenadines	389	110872	Kingstown	English, Vincentian Creole	Central America	XCD	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Solomon Islands 	solomons	Solomon Islands 	28896	734887	Honiara	English, Pijin	Oceania	XCD	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Solomon_Islands
Tuvalu	tuvalu	Tuvalu	26	11900	Funafuti	Tuvaluan, English	Oceania	AUD, TD	no	no	yes	yes	no	monarchy	left	https://en.wikipedia.org/wiki/Tuvalu